PHY_Long_CHP.csv
Serial number : xxxxx(RAID600)
From : 2014/03/03 01:00
To   : 2014/04/02 01:00
sampling rate : 15

"No.","time","CHP00-1EU","CHP01-1EU","CHP02-1EU","CHP03-1EU","CHP10-1FU","CHP11-1FU","CHP12-1FU","CHP13-1FU","CHP04-1EL","CHP05-1EL","CHP06-1EL","CHP07-1EL","CHP80-2QU","CHP81-2QU","CHP82-2QU","CHP83-2QU","CHP90-2RU","CHP91-2RU","CHP92-2RU","CHP93-2RU","CHP84-2QL","CHP85-2QL","CHP86-2QL","CHP87-2QL"
"1","2014/03/03 01:15",10,18,30,70,9,10,13,10,34,24,10,27,10,18,29,71,9,10,13,10,10,24,34,27
"2","2014/03/03 01:30",11,19,30,71,9,9,12,10,34,27,10,26,11,19,29,72,9,9,12,10,10,27,34,27
"3","2014/03/03 01:45",10,17,27,68,10,10,12,10,34,19,10,27,10,17,26,68,10,10,12,10,10,20,35,27
"4","2014/03/03 02:00",8,15,21,41,8,8,11,9,31,15,9,25,8,15,20,42,9,8,11,9,8,15,32,25
"5","2014/03/03 02:15",9,18,23,55,8,8,11,9,29,19,8,19,9,18,22,55,8,8,11,9,8,19,29,20
"6","2014/03/03 02:30",7,17,21,25,8,7,10,8,28,16,8,19,7,17,20,26,8,8,10,8,8,16,29,20
"7","2014/03/03 02:45",8,12,23,19,8,9,11,9,31,16,8,20,8,12,22,20,8,8,11,9,8,16,32,21
"8","2014/03/03 03:00",9,13,25,20,9,9,12,9,33,15,8,24,8,13,24,21,9,9,12,9,9,15,33,24
"9","2014/03/03 03:15",6,10,37,31,6,7,10,7,23,17,6,16,6,10,36,32,7,6,10,7,7,17,22,16
"10","2014/03/03 03:30",7,12,45,40,7,7,10,8,24,14,8,13,7,11,43,41,7,7,10,7,7,13,24,13
"11","2014/03/03 03:45",8,13,42,40,8,8,10,8,27,14,8,15,7,13,41,41,8,8,10,8,8,14,27,15
"12","2014/03/03 04:00",8,12,43,48,8,8,10,8,28,14,9,15,8,13,41,50,8,8,10,9,8,14,28,15
"13","2014/03/03 04:15",10,15,46,34,11,11,13,11,36,23,10,22,10,14,44,35,11,11,13,11,10,22,36,22
"14","2014/03/03 04:30",6,11,40,30,7,7,10,8,26,15,7,16,7,11,38,31,7,7,10,8,7,15,26,15
"15","2014/03/03 04:45",4,7,34,9,5,5,8,5,18,12,4,10,4,6,32,10,5,5,8,5,4,12,18,11
"16","2014/03/03 05:00",8,10,35,14,8,8,11,9,29,15,8,14,8,10,34,14,8,8,11,9,8,14,28,14
"17","2014/03/03 05:15",7,17,34,25,11,11,10,8,26,18,7,14,7,16,33,26,10,11,10,9,8,18,26,13
"18","2014/03/03 05:30",6,21,23,14,7,7,9,7,29,15,7,13,7,21,22,15,7,7,10,7,6,15,28,13
"19","2014/03/03 05:45",5,22,17,20,5,6,7,6,23,12,5,10,5,22,16,21,6,6,7,6,5,12,23,10
"20","2014/03/03 06:00",5,24,15,14,6,6,8,6,23,13,5,10,5,24,15,14,5,6,8,6,5,13,23,11
"21","2014/03/03 06:15",9,35,24,30,8,8,12,9,33,24,8,15,9,34,22,31,8,8,12,9,8,24,33,16
"22","2014/03/03 06:30",13,48,28,38,12,13,16,12,51,21,12,18,13,48,27,38,13,12,15,13,12,21,51,18
"23","2014/03/03 06:45",16,49,41,45,15,15,18,15,62,22,14,23,16,48,39,46,15,15,18,15,14,22,62,24
"24","2014/03/03 07:00",15,47,36,47,15,14,17,15,61,21,15,46,15,46,35,49,15,15,17,15,14,21,63,46
"25","2014/03/03 07:15",14,44,35,46,13,13,17,14,56,24,13,52,13,44,35,47,13,13,17,15,13,24,57,52
"26","2014/03/03 07:30",13,43,31,47,12,12,15,13,51,21,11,47,13,44,30,47,13,12,15,13,10,21,51,47
"27","2014/03/03 07:45",14,49,29,56,13,13,15,13,50,20,11,46,14,51,29,56,12,12,16,13,10,19,50,47
"28","2014/03/03 08:00",12,43,28,54,11,10,13,11,38,17,9,49,12,43,26,55,12,11,13,11,8,17,39,49
"29","2014/03/03 08:15",10,41,28,47,8,8,12,9,31,20,7,46,10,41,27,47,8,9,12,9,7,21,31,46
"30","2014/03/03 08:30",9,26,25,46,7,7,10,8,21,17,5,39,9,27,25,46,7,7,10,8,5,17,21,38
"31","2014/03/03 08:45",7,15,24,37,6,7,10,6,22,14,6,35,7,14,23,37,7,7,9,7,6,14,23,35
"32","2014/03/03 09:00",5,11,22,39,5,5,8,6,18,11,4,30,5,10,21,40,5,5,8,5,5,12,19,31
"33","2014/03/03 09:15",14,26,36,57,11,11,14,12,48,23,11,35,14,26,35,58,10,11,14,11,11,23,49,36
"34","2014/03/03 09:30",11,16,30,47,10,10,13,10,46,19,8,30,10,16,29,47,10,10,12,10,8,20,47,31
"35","2014/03/03 09:45",12,19,32,40,12,12,15,12,44,19,9,29,12,18,32,40,12,12,14,12,9,18,45,30
"36","2014/03/03 10:00",8,17,30,54,8,8,10,9,34,14,7,24,9,17,29,55,8,8,11,8,7,14,34,24
"37","2014/03/03 10:15",6,13,25,53,6,6,9,7,24,18,6,24,6,13,24,55,6,6,9,7,5,18,25,24
"38","2014/03/03 10:30",6,14,23,49,7,7,9,7,28,13,7,22,7,14,22,52,7,7,10,7,6,13,28,22
"39","2014/03/03 10:45",5,10,21,48,5,5,8,5,20,12,5,19,6,10,20,51,5,5,8,5,5,11,21,19
"40","2014/03/03 11:00",6,14,22,51,6,6,9,7,26,12,6,21,6,13,21,53,6,6,9,7,6,13,27,20
"41","2014/03/03 11:15",9,22,25,53,6,6,9,7,18,14,5,23,9,22,24,55,6,6,9,6,6,15,18,23
"42","2014/03/03 11:30",10,24,25,54,8,8,10,8,25,14,8,23,10,25,24,57,8,8,10,8,8,14,26,23
"43","2014/03/03 11:45",4,7,21,56,4,4,7,5,14,10,4,18,4,7,20,58,4,4,7,4,4,10,15,19
"44","2014/03/03 12:00",6,15,22,51,6,6,9,6,21,13,6,20,6,16,21,53,6,6,9,7,6,12,21,20
"45","2014/03/03 12:15",5,13,25,42,5,5,8,6,17,15,5,18,5,13,24,43,5,5,7,6,5,15,17,17
"46","2014/03/03 12:30",4,8,21,40,4,3,6,4,12,11,4,15,4,8,20,42,3,4,6,4,3,11,12,15
"47","2014/03/03 12:45",3,6,20,47,3,3,5,3,8,9,3,14,3,6,19,48,3,3,5,3,3,9,8,13
"48","2014/03/03 13:00",3,6,21,46,3,3,5,3,8,9,3,12,3,6,19,47,3,3,5,3,3,8,8,12
"49","2014/03/03 13:15",3,9,23,36,3,3,6,4,11,12,4,11,4,9,22,36,3,3,6,4,4,12,11,12
