LDEV_Rnd_Write_IOPS_1-12.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:DD","00:00:DF","00:00:E0","00:00:E6","00:00:E7","00:00:E8","00:00:E9","00:00:EA","00:00:EB","00:00:EC","00:00:ED","00:00:EE","00:00:EF","00:20:16","00:20:17"
"69","2014/04/01 23:08",0,0,0,0,0,0,0,0,0,0,0,6,1,9,5
"70","2014/04/01 23:13",0,0,0,0,0,0,0,0,0,0,0,6,0,9,6
"71","2014/04/01 23:18",0,0,0,0,0,0,0,0,0,0,0,6,0,9,4
"72","2014/04/01 23:23",0,0,0,0,0,0,0,0,0,0,0,6,2,9,3
"73","2014/04/01 23:28",0,0,0,0,0,0,0,0,0,0,0,5,1,9,4
"74","2014/04/01 23:33",0,0,0,0,0,0,0,0,0,0,0,6,1,9,4
"75","2014/04/01 23:38",0,0,0,0,0,0,0,0,0,0,0,5,1,9,4
"76","2014/04/01 23:43",0,0,0,0,0,0,0,0,0,0,0,6,1,10,3
"77","2014/04/01 23:48",0,0,0,0,0,0,0,0,0,0,0,5,1,9,4
"78","2014/04/01 23:53",1,0,0,0,0,0,0,0,0,0,0,5,1,9,5
"79","2014/04/01 23:58",1,0,0,0,0,1,0,0,0,0,0,5,1,9,6
"80","2014/04/02 00:03",0,0,0,0,0,1,0,0,0,0,0,5,1,10,5
"81","2014/04/02 00:08",0,0,0,0,0,2,0,0,0,0,0,5,1,10,4
"82","2014/04/02 00:13",0,0,0,0,0,1,0,0,0,0,0,5,1,10,4
"83","2014/04/02 00:18",0,0,0,0,0,2,0,0,0,0,0,4,1,9,4
"84","2014/04/02 00:23",1,0,0,0,0,2,0,0,0,0,0,5,1,9,4
"85","2014/04/02 00:28",0,0,0,0,0,3,0,0,0,0,0,5,1,9,4
"86","2014/04/02 00:33",0,0,0,0,0,2,0,0,0,0,0,5,1,9,4
"87","2014/04/02 00:38",0,0,0,0,0,3,0,0,0,0,0,5,1,9,4
"88","2014/04/02 00:43",0,0,0,0,0,2,0,0,0,0,0,5,1,9,6
"89","2014/04/02 00:48",0,0,0,0,0,3,0,0,0,0,0,5,1,9,6
"90","2014/04/02 00:53",0,0,0,0,0,0,0,0,0,0,0,5,1,10,6
"91","2014/04/02 00:58",0,0,0,0,0,0,0,0,0,0,0,5,1,8,4
"92","2014/04/02 01:03",22,58,0,0,0,9,0,0,0,0,0,5,1,11,3
"93","2014/04/02 01:08",11,34,11,0,0,0,0,0,0,0,0,6,1,11,4
"94","2014/04/02 01:13",0,0,14,0,0,0,0,0,0,0,0,5,1,11,4
"95","2014/04/02 01:18",0,0,0,0,0,0,0,0,0,0,0,6,1,8,4
"96","2014/04/02 01:23",0,0,0,0,0,0,0,0,0,0,0,5,2,10,4
