LDEV_Seq_Write_Hit_X620-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2A:C1 X"
"1","2014/04/01 17:28",77
"2","2014/04/01 17:33",80
"3","2014/04/01 17:38",86
"4","2014/04/01 17:43",87
"5","2014/04/01 17:48",77
"6","2014/04/01 17:53",0
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",80
"9","2014/04/01 18:08",82
"10","2014/04/01 18:13",78
"11","2014/04/01 18:18",80
"12","2014/04/01 18:23",0
"13","2014/04/01 18:28",80
"14","2014/04/01 18:33",75
"15","2014/04/01 18:38",83
"16","2014/04/01 18:43",78
"17","2014/04/01 18:48",0
"18","2014/04/01 18:53",0
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",0
"21","2014/04/01 19:08",84
"22","2014/04/01 19:13",76
"23","2014/04/01 19:18",85
"24","2014/04/01 19:23",89
"25","2014/04/01 19:28",90
"26","2014/04/01 19:33",0
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",85
"29","2014/04/01 19:48",55
"30","2014/04/01 19:53",0
"31","2014/04/01 19:58",81
"32","2014/04/01 20:03",84
"33","2014/04/01 20:08",0
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",76
"36","2014/04/01 20:23",0
"37","2014/04/01 20:28",0
"38","2014/04/01 20:33",83
"39","2014/04/01 20:38",75
"40","2014/04/01 20:43",85
"41","2014/04/01 20:48",77
"42","2014/04/01 20:53",79
"43","2014/04/01 20:58",82
"44","2014/04/01 21:03",76
"45","2014/04/01 21:08",0
"46","2014/04/01 21:13",80
"47","2014/04/01 21:18",84
"48","2014/04/01 21:23",78
"49","2014/04/01 21:28",81
"50","2014/04/01 21:33",0
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",87
"53","2014/04/01 21:48",76
"54","2014/04/01 21:53",78
"55","2014/04/01 21:58",77
"56","2014/04/01 22:03",81
"57","2014/04/01 22:08",76
"58","2014/04/01 22:13",89
"59","2014/04/01 22:18",77
"60","2014/04/01 22:23",0
"61","2014/04/01 22:28",77
"62","2014/04/01 22:33",0
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",85
"66","2014/04/01 22:53",80
"67","2014/04/01 22:58",80
"68","2014/04/01 23:03",77
"69","2014/04/01 23:08",87
"70","2014/04/01 23:13",90
"71","2014/04/01 23:18",70
"72","2014/04/01 23:23",87
"73","2014/04/01 23:28",64
"74","2014/04/01 23:33",87
"75","2014/04/01 23:38",89
"76","2014/04/01 23:43",80
"77","2014/04/01 23:48",45
"78","2014/04/01 23:53",71
"79","2014/04/01 23:58",69
"80","2014/04/02 00:03",91
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",100
"83","2014/04/02 00:18",77
"84","2014/04/02 00:23",72
"85","2014/04/02 00:28",76
"86","2014/04/02 00:33",68
"87","2014/04/02 00:38",77
"88","2014/04/02 00:43",77
"89","2014/04/02 00:48",81
"90","2014/04/02 00:53",65
"91","2014/04/02 00:58",71
"92","2014/04/02 01:03",80
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",100
"95","2014/04/02 01:18",0
"96","2014/04/02 01:23",0
