LDEV_Seq_Write_Hit_X120-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5C:DA X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",84
"3","2014/04/01 17:38",87
"4","2014/04/01 17:43",80
"5","2014/04/01 17:48",85
"6","2014/04/01 17:53",82
"7","2014/04/01 17:58",90
"8","2014/04/01 18:03",94
"9","2014/04/01 18:08",84
"10","2014/04/01 18:13",87
"11","2014/04/01 18:18",84
"12","2014/04/01 18:23",0
"13","2014/04/01 18:28",75
"14","2014/04/01 18:33",83
"15","2014/04/01 18:38",75
"16","2014/04/01 18:43",80
"17","2014/04/01 18:48",89
"18","2014/04/01 18:53",66
"19","2014/04/01 18:58",78
"20","2014/04/01 19:03",86
"21","2014/04/01 19:08",83
"22","2014/04/01 19:13",76
"23","2014/04/01 19:18",72
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",83
"26","2014/04/01 19:33",86
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",78
"29","2014/04/01 19:48",86
"30","2014/04/01 19:53",88
"31","2014/04/01 19:58",82
"32","2014/04/01 20:03",90
"33","2014/04/01 20:08",80
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",0
"36","2014/04/01 20:23",84
"37","2014/04/01 20:28",80
"38","2014/04/01 20:33",70
"39","2014/04/01 20:38",82
"40","2014/04/01 20:43",83
"41","2014/04/01 20:48",82
"42","2014/04/01 20:53",83
"43","2014/04/01 20:58",82
"44","2014/04/01 21:03",93
"45","2014/04/01 21:08",88
"46","2014/04/01 21:13",86
"47","2014/04/01 21:18",85
"48","2014/04/01 21:23",86
"49","2014/04/01 21:28",81
"50","2014/04/01 21:33",77
"51","2014/04/01 21:38",77
"52","2014/04/01 21:43",86
"53","2014/04/01 21:48",83
"54","2014/04/01 21:53",73
"55","2014/04/01 21:58",88
"56","2014/04/01 22:03",94
"57","2014/04/01 22:08",81
"58","2014/04/01 22:13",84
"59","2014/04/01 22:18",81
"60","2014/04/01 22:23",82
"61","2014/04/01 22:28",81
"62","2014/04/01 22:33",0
"63","2014/04/01 22:38",80
"64","2014/04/01 22:43",83
"65","2014/04/01 22:48",78
"66","2014/04/01 22:53",83
"67","2014/04/01 22:58",71
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",79
"70","2014/04/01 23:13",90
"71","2014/04/01 23:18",87
"72","2014/04/01 23:23",87
"73","2014/04/01 23:28",82
"74","2014/04/01 23:33",84
"75","2014/04/01 23:38",83
"76","2014/04/01 23:43",86
"77","2014/04/01 23:48",88
"78","2014/04/01 23:53",80
"79","2014/04/01 23:58",88
"80","2014/04/02 00:03",91
"81","2014/04/02 00:08",83
"82","2014/04/02 00:13",80
"83","2014/04/02 00:18",0
"84","2014/04/02 00:23",82
"85","2014/04/02 00:28",84
"86","2014/04/02 00:33",79
"87","2014/04/02 00:38",89
"88","2014/04/02 00:43",83
"89","2014/04/02 00:48",82
"90","2014/04/02 00:53",82
"91","2014/04/02 00:58",82
"92","2014/04/02 01:03",94
"93","2014/04/02 01:08",82
"94","2014/04/02 01:13",80
"95","2014/04/02 01:18",66
"96","2014/04/02 01:23",81
